codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;E.E. Educação Especial Livre Aprender;;;;;em_atividade;-15.596875;-56.079121;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Pascoal Moreira Cabral;Cuiabá;5103403;;;em_atividade;-15.612936;-56.039145;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Coronel José Meirelles;;;;;em_atividade;-15.602697;-56.083525;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CEIC Lucila Ferreira Fortes;Cuiabá;5103403;;;em_atividade;-15.602383;-56.083111;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;SENAI Mato Grosso;Cuiabá;5103403;;;em_atividade;-15.608956;-56.100562;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.628689;-56.169463;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Joana Mont Serrat Spindola Silva;;;;;em_atividade;-15.571536;-56.036079;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Dr.Helio Palma De Arruda;;;;;em_atividade;-15.582379;-56.044780;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Filogonio Correa;;;;;em_atividade;-15.350584;-56.232894;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMREB Profª Benedita Xavier Rodrigues;;;;;em_atividade;-15.356305;-56.230309;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Gláucia Maria Borges Garcia;;;;;em_atividade;-15.568606;-56.097015;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Evolução;;;;;em_atividade;-15.664300;-56.093105;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;DataPlus Informática;;;;;em_atividade;-15.602416;-56.087430;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMREB Herbert de Souza;;;;;em_atividade;-15.630150;-55.930716;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Panthera's Escola Jofre Velho;;;;;em_atividade;-17.338247;-56.769713;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Senac;Cuiabá;5103403;;;em_atividade;-15.610980;-56.059747;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Waldorf Brasilis;Cuiabá;5103403;;;em_atividade;-15.584415;-56.070828;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Jardim Moitará;Cuiabá;5103403;;;em_atividade;-15.585610;-56.093325;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Master;Cuiabá;5103403;;;em_atividade;-15.602293;-56.085980;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
