id_snisb;nome;municipio;orgao_fiscalizador;empreendedor;curso_dagua;codigo_trecho_curso_dagua;relacao_com_cuiaba;categoria_risco;dano_potencial_associado;classe_cnrh;altura_m;capacidade_hm3;uso_principal;fase_de_vida;possui_plano_de_seguranca;possui_pae;data_ultima_inspecao;latitude;longitude
35229;Fazenda Jangada Agropastoril II - Barragem Principal;Jangada;MT - Secretaria de Estado do Meio Ambiente - SEMA;Jangada Agropastoril Ltda.;Rio Jangada;89658;montante;Médio;Baixo;D;4.72;0.02;Recreação;Operação;Não;;;-15.257138888999975;-56.513944444
36517;Barramento 2 (Montante);Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Rio Bandeira;8965754;montante;Não se Aplica;Baixo;;3.0;0.018;Paisagismo;Projeto;Não;;;-15.483666667000023;-56.166305556
7991;Faz. Cabeça Branca - Barragem 04;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Córrego Taquara;8965896;montante;Não se Aplica;Baixo;;2.3;0.018;Aquicultura;Operação;Não;;;-15.576999999999998;-56.81900000000002
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;MANGABA URBANISMO LTDA;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;4.0;0.017;Paisagismo;Projeto;Não;;;-15.424444444000017;-56.04694444400002
35107;Barragem VII (montante);Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Córrego Fura Mato;8965882;montante;Médio;Baixo;D;2.55;0.016;Aquicultura;Operação;Não;;;-15.62033333300002;-56.77030555599998
34732;BARRAGEM 1;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Cidade Jardim Incorporações de Empreendimentos Imobiliários Ltda.;Rio Bandeira;8965754;montante;Médio;Baixo;D;3.0;0.014;Paisagismo;Operação;Não;;;-15.461916667000025;-56.05241666699999
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;MANGABA URBANISMO LTDA;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;7.96;0.014;Paisagismo;Projeto;Não;;;-15.423277778;-56.04525000000001
35182;Barramento 5;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;4.0;0.012;Paisagismo;Operação;Não;;;-15.490611111000021;-56.17602777799999
35106;Barragem VIII (principal);Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Córrego Fura Mato;8965882;montante;Médio;Baixo;D;1.9;0.012;Aquicultura;Operação;Não;;;-15.620138888999975;-56.76941666699997
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Dorismar Rodrigues dos Santos;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;3.55;0.01;Aquicultura;Operação;Não;;;-15.354388889000006;-56.10316666699998
31620;Loteamento Brisas do Campo;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;GMP 75 EMPREENDIMENTOS IMOBILIARIOS LTDA;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;3.0;0.008;Recreação;Projeto;Não;;;-15.49475000000001;-56.11513888899998
26156;Barragem JL;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;Marcus Vítor Nunes Lindote;Córrego Tarumã;8965742;montante;Baixo;Baixo;E;3.0;0.008;Contenção de rejeitos de mineração;Operação;Não;;;-15.676077777999978;-56.36579444400002
