codigo_ibge;municipio;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;indice_saturacao_solo;classe_saturacao_solo;razao_nivel_cota_alerta;nivel_alerta_hidro;dias_consecutivos_chuva_intensa;dias_com_serie_precip;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;aproximacao_espacial
5105200;Juscimeira;2026-09-06;0.2;0.8;6.3;10.6;0,7540;75,4;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105234;Lambari D'Oeste;2026-09-06;39.5;43.2;0.6;100.0;0,8870;88,7;muito_alta;;;1;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105259;Lucas do Rio Verde;2026-09-06;6.2;10.6;4.9;64.8;0,9280;92,8;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105309;Luciara;2026-09-06;22.6;27.9;7.3;98.6;0,8320;83,2;muito_alta;;;1;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105507;Vila Bela da Santíssima Trindade;2026-09-06;4.2;6.7;0.4;48.6;0,4100;41,0;moderada;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Declínio de Temperatura;amarelo;verde;;;;;;;municipio_sede
5105580;Marcelândia;2026-09-06;0.0;5.4;2.8;4.9;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105606;Matupá;2026-09-06;1.1;7.3;5.1;19.7;0,8660;86,6;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105622;Mirassol d'Oeste;2026-09-06;12.5;19.7;1.6;90.8;0,9940;99,4;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105903;Nobres;2026-09-06;1.5;1.7;9.1;27.5;0,1420;14,2;baixa;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5106000;Nortelândia;2026-09-06;3.2;3.8;0.7;41.5;0,3510;35,1;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
