codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510300720000001;5103007;Chapada dos Guimarães;Urbana;2.2373;131;107;-15.366568;-55.451649;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300720000008;5103007;Chapada dos Guimarães;Rural;282.8472;101;92;-15.289373;-55.35651;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300720000004;5103007;Chapada dos Guimarães;Rural;250.6334;230;146;-15.162699;-55.253868;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300720000007;5103007;Chapada dos Guimarães;Rural;145.6234;237;184;-15.196821;-55.341885;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000018;5107800;Santo Antônio de Leverger;Rural;485.877;35;26;-16.950967;-55.49865;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000010;5107800;Santo Antônio de Leverger;Rural;436.6495;185;70;-16.961087;-55.010489;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000019;5107800;Santo Antônio de Leverger;Rural;508.9154;43;29;-16.772701;-55.289186;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000020;5107800;Santo Antônio de Leverger;Rural;535.4292;56;47;-16.785462;-55.115763;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000005;5107800;Santo Antônio de Leverger;Rural;524.3174;153;241;-16.635483;-55.377035;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000009;5107800;Santo Antônio de Leverger;Rural;449.2804;102;57;-16.981943;-55.122122;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000021;5107800;Santo Antônio de Leverger;Rural;484.6349;17;16;-17.026954;-55.35644;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000023;5107800;Santo Antônio de Leverger;Rural;501.1134;83;33;-16.874557;-55.036491;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000028;5107800;Santo Antônio de Leverger;Rural;0.39;37;15;-16.613288;-55.016891;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000029;5107800;Santo Antônio de Leverger;Rural;302.9886;55;14;-16.562098;-55.093334;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
