rank;score_prioridade;faixa;id_snisb;nome;municipio_sede;nivel;idap;dano_potencial_associado;uso_principal;n_municipios_extraterritoriais;n_lacunas_pae;alertavel;pts_dpa;pts_rejeito;pts_nivel;pts_extraterritorial;pts_pae;pts_nao_alertavel
149;37;média;4257;PCH Primavera - Primavera;Poxoréu;Verde;4;Alto;Hidroelétrica;0;5;não avaliado;20;0;2;0;15;0
150;37;média;4350;PCH Riacho Preto - PCH RIACHO PRETO;Querência;Verde;5;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
151;37;média;5054;PCH Sapezal - Principal;Sapezal;Verde;7;Alto;Hidroelétrica;0;5;não avaliado;20;0;2;0;15;0
152;37;média;4313;PCH Segredo - Barramento PCH Segredo;Sapezal;Verde;7;Alto;Hidroelétrica;0;5;não avaliado;20;0;2;0;15;0
153;37;média;4519;PCH São Lourenço (Antiga Zé Fernando) - São Lourenço;Juscimeira;Verde;5;Alto;Hidroelétrica;0;5;não avaliado;20;0;2;0;15;0
154;37;média;4814;UHE Colíder - Colíder;Nova Canaã do Norte;Verde;4;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
155;37;média;20613;UHE Itiquira (Casas de Forças  I e  II)  - Canal de Adução I;Itiquira;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
156;37;média;20612;UHE Itiquira (Casas de Forças  I e  II)  - Dique da Câmara de Carga do Circuito I;Itiquira;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
157;37;média;4723;UHE Itiquira (Casas de Forças  I e  II)  - Itiquira;Itiquira;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
158;37;média;4642;UHE Juba I - Juba I;Tangará da Serra;Verde;7;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
159;37;média;34233;UHE Juruena - Barragem UHE Juruena;Sapezal;Verde;6;Alto;Hidroelétrica;0;8;não avaliado;20;0;2;0;15;0
160;37;média;4946;UHE Ponte de Pedra - Barragem Principal;Itiquira;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
161;37;média;20480;UHE Ponte de Pedra - Canal de Adução;Itiquira;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
162;37;média;20653;UHE Sinop - Sinop;Cláudia;Verde;5;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
163;37;média;5056;UHE São Manoel - 1;Paranaíta;Verde;5;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
164;34;média;35637;BA-01;Nossa Senhora do Livramento;Amarelo;22;Baixo;Industrial;2;8;sim;0;0;10;9;15;0
165;34;média;34732;BARRAGEM 1;Cuiabá;Amarelo;20;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
166;34;média;34733;BARRAGEM 2 SUPERIOR;Cuiabá;Amarelo;19;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
167;34;média;34734;BARRAGEM 3;Cuiabá;Amarelo;21;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
168;34;média;35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;Amarelo;21;Baixo;Aquicultura;2;8;sim;0;0;10;9;15;0
169;34;média;32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;Amarelo;21;Baixo;Aquicultura;2;8;sim;0;0;10;9;15;0
