categoria;nome;municipio;distancia_eixo_km;faixa;segmento_do_eixo;familias;hospitalar;detalhe;longitude;latitude
estabelecimento de saúde;ALEIXO GLADKI PETRENKO JUNIOR;Cuiabá;0.84;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.108191;-15.609775
estabelecimento de saúde;ASSOCIACAO PESTALOZZI DE CUIABA;Cuiabá;0.84;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.076191;-15.629472
estabelecimento de saúde;RONEY CAMPOS GRANJEIRO;Cuiabá;0.85;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.113459;-15.632899
estabelecimento de saúde;SECRETARIA MUNICIPAL DE SANTO ANTONIO DO LEVERGER;Santo Antônio de Leverger;0.85;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.08144;-15.86073
estabelecimento de saúde;HOSPITAL UNIMED CUIABA;Cuiabá;0.87;até 2 km;jusante_capital;;Sim;atendimento hospitalar;-56.074339;-15.86521
estabelecimento de saúde;ONCOMED;Cuiabá;0.88;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.113744;-15.611666
estabelecimento de saúde;GLAUCE LINS BARBOSA MORAES;Cuiabá;0.89;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.085501;-15.622037
estabelecimento de saúde;INSTITUTO DA VISAO CUIABA;Cuiabá;0.89;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.111605;-15.610173
estabelecimento de saúde;DROGARAIA DS1378;Várzea Grande;0.89;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.080043;-15.6705
estabelecimento de saúde;RAMILSON BENEDITO FERRAZ DA COSTA;Várzea Grande;0.89;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.110181;-15.629854
estabelecimento de saúde;BERTHOLDO MODESTO PARANAGUA;Cuiabá;0.9;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104788;-15.609182
estabelecimento de saúde;JULIANA PAULA LOUZICH COELHO VACCARI;Cuiabá;0.9;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.111659;-15.610103
estabelecimento de saúde;QUALIFIC HOMECARE;Cuiabá;0.91;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.091178;-15.617673
estabelecimento de saúde;QUALIFIC HOME CARE;Cuiabá;0.91;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.090343;-15.618524
estabelecimento de saúde;ESTIMULE BRINCANDO DESENVOLVIMENTO INFANTIL;Cuiabá;0.91;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.09034;-15.618467
estabelecimento de saúde;LUCIA HELENA BARBOZA SAMPAIO;Cuiabá;0.91;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.112299;-15.610355
estabelecimento de saúde;CLINICA GIRASSOIS;Cuiabá;0.92;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.085454;-15.621765
estabelecimento de saúde;CLIN MED;Cuiabá;0.92;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.083438;-15.622748
estabelecimento de saúde;CLINICA AMEVISAO;Cuiabá;0.92;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.07827;-15.861916
estabelecimento de saúde;CRISTINA REIS GAMA DORNELLES;Cuiabá;0.92;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.083416;-15.622756
estabelecimento de saúde;CLINIPRESS;Rosário Oeste;0.92;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.429511;-14.834727
estabelecimento de saúde;COG;Cuiabá;0.93;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.07824;-15.861897
estabelecimento de saúde;ORTHOS CUIABA ORTOPEDIA ESPECIALIZADA;Cuiabá;0.93;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.112303;-15.610109
estabelecimento de saúde;USF LIMPO GRANDE;Várzea Grande;0.93;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.14495;-15.582329
estabelecimento de saúde;MAEVE FISIOTERAPIA E MEDICINA ORIENTAL;Cuiabá;0.94;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.074252;-15.630653
estabelecimento de saúde;VACINA PRA TODOS;Cuiabá;0.95;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.083389;-15.622454
