id_snisb;nome;municipio_sede;regiao_saude;perfil_sanitario;idap;nivel;completude;confiabilidade;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;area_estimada_km2;populacao_estimada;metodo_populacao;chuva_24h_mm;chuva_72h_mm;saturacao_antecedente;nivel_alerta_hidro;aproximacao_espacial;municipios_potencialmente_afetados;arquivo_alerta;resumo;instante
35116;Barragem XVIII;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,02;2;area_x_densidade;0.3;0.6;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35116.txt;Barragem XVIII (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35119;BARRAGEM ROSA CRISTINA I;Várzea Grande;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,05;7;area_x_densidade;0.7;0.7;0,2710;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35119.txt;BARRAGEM ROSA CRISTINA I (Várzea Grande) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35180;Barramento 7;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,02;3;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_35180.txt;Barramento 7 (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
35181;Barramento 6;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,01;1;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_35181.txt;Barramento 6 (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
35182;Barramento 5;Cuiabá;Baixada Cuiabana;rejeito;14;Amarelo;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_35182.txt;Barramento 5 (Cuiabá) — IDAP 14/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
35229;Fazenda Jangada Agropastoril II - Barragem Principal;Jangada;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,01;1;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Jangada | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35229.txt;Fazenda Jangada Agropastoril II - Barragem Principal (Jangada) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35637;BA-01;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,1;15;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35637.txt;BA-01 (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,13;19;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_36689.txt;Barragem I - Fazenda Pouso da Garça (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,03;4;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_36690.txt;Barragem II - Fazenda Pouso da Garça (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,03;4;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_36691.txt;Barragem III - Fazenda Pouso da Garça (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
